id,name,category,description,target_gender,health_goal,age_range,weight_range
1,Vitamin C Plus,Vitamin,"mệt mỏi mãn tính, suy nhược cơ thể, cảm cúm thường xuyên, hay ốm vặt vào mùa đông, hệ miễn dịch kém, đề kháng yếu, da xỉn màu, stress công việc, thiếu vitamin C nghiêm trọng, vết thương lâu lành, chảy máu chân răng",All,"Tăng đề kháng, Làm đẹp da, Chống oxy hóa, Giảm stress",18-65,45-90
2,Omega-3 Fish Oil 1000mg,Omega-3,"tim đập nhanh, hồi hộp, cholesterol cao, triglyceride tăng, viêm khớp gối, khô mắt, da bong tróc, trí nhớ kém, hay quên, tập trung kém, huyết áp cao, xơ vữa động mạch, đau ngực nhẹ",Adult,"Tim mạch khỏe, Trí não minh mẫn, Kháng viêm tự nhiên, Da mịn màng",30-70,50-100
3,Magnesium Glycinate 400mg,Khoáng chất,"căng cơ vai gáy, chuột rút ban đêm, mất ngủ kinh niên, lo âu vô cớ, hồi hộp tim đập, nhịp tim không đều, táo bón lâu ngày, đau nửa đầu, tiền kinh nguyệt nặng, thiếu magie trầm trọng",Adult,"Thư giãn thần kinh, Ngủ ngon sâu giấc, Giảm chuột rút, Hỗ trợ tiêu hóa",20-60,40-85
4,Probiotic 50 Billion CFU,Probiotic,"tiêu hóa kém, đầy hơi sau ăn, ợ chua, táo bón xen kẽ tiêu chảy, hệ miễn dịch yếu, nhiễm trùng đường ruột, loạn khuẩn do kháng sinh, hội chứng ruột kích thích, dị ứng thức ăn",All,"Cân bằng hệ vi sinh, Tăng cường tiêu hóa, Tăng sức đề kháng, Giảm dị ứng",12-75,35-95
5,Collagen Peptides Type 1&3,Collagen,"da nhăn nheo, chảy xệ quanh mắt, tóc mỏng gãy rụng, móng tay yếu dễ gãy, đau khớp gối, xương yếu loãng xương, dây chằng kém đàn hồi, sẹo lồi lâu lành, cellulite đùi",Adult,"Làm đẹp da, Chắc khỏe xương, Tóc móng bóng mượt, Giảm đau khớp",25-65,45-80
6,Ashwagandha KSM-66,Thảo dược,"căng thẳng công việc, lo âu xã hội, mệt mỏi mãn tính, suy nhược thần kinh, giảm trí nhớ, stress hậu COVID, khó thích nghi áp lực, cortisol cao, ham muốn thấp, chất lượng giấc ngủ kém",Adult,"Giảm stress, Tăng năng lượng, Cải thiện trí nhớ, Tăng ham muốn",20-55,45-85
7,Melatonin 5mg Fast Release,Hormone,"mất ngủ khó vào giấc, ngủ không sâu, thức giấc nửa đêm, rối loạn giấc ngủ, jet lag sau bay, làm ca đêm, thức khuya học tập, đồng hồ sinh học lộn xộn",Adult,"Cải thiện giấc ngủ, Điều hòa nhịp sinh học, Ngủ ngon tự nhiên",18-70,40-90
8,Vitamin D3 5000IU + K2,Vitamin,"xương yếu đau lưng, đau nhức cơ bắp, miễn dịch kém hay ốm, trầm cảm theo mùa, thiếu vitamin D nặng, loãng xương sau mãn kinh, rụng tóc nhiều, móng giòn",All,"Xương chắc khỏe, Tăng miễn dịch, Cải thiện tâm trạng, Giảm rụng tóc",18-80,40-100
9,Zinc Picolinate 50mg,Khoáng chất,"miễn dịch kém cảm cúm, vết thương lâu lành, rụng tóc hói đầu, móng tay trắng đốm, vị giác kém, mụn trứng cá nặng, tiêu chảy kéo dài, thiếu kẽm trẻ em",All,"Tăng miễn dịch, Làm đẹp da tóc, Cải thiện vị giác, Chống oxy hóa",12-65,30-85
10,Curcumin Phytosome 500mg,Chống viêm,"viêm khớp gối đau, đau nhức xương khớp, viêm gan do rượu, viêm dạ dày HP, chống viêm sau phẫu thuật, đau cơ tập gym, viêm ruột, trào ngược dạ dày",Adult,"Kháng viêm mạnh, Bảo vệ gan, Giảm đau khớp, Chống oxy hóa",25-75,45-95
11,CoQ10 200mg Ubiquinol,Chống oxy hóa,"suy tim mệt mỏi, huyết áp cao khó kiểm soát, đau cơ do statin, thiếu năng lượng, lão hóa sớm, đau ngực không rõ nguyên nhân, cholesterol cao di truyền",Adult,"Tim mạch khỏe, Tăng năng lượng, Chống lão hóa, Giảm đau cơ",35-80,50-100
12,N-Acetyl Cysteine 600mg,Amino acid,"ho đờm mãn tính, viêm phế quản tái phát, gan nhiễm mỡ, giải độc gan, hỗ trợ hô hấp, nghiện thuốc lá, tổn thương do paracetamol, viêm xoang dị ứng",Adult,"Hỗ trợ hô hấp, Giải độc gan, Long đờm, Chống oxy hóa",18-70,45-90
